timestamp,nb_matches
1603266599.4103959,0
1603266599.5112638,746
1603266599.6121268,752
1603266599.7129686,740
1603266599.813848,789
1603266599.914728,708
1603266600.0156069,668
1603266600.116487,783
1603266600.217315,781
1603266600.318218,850
1603266600.4190938,816
1603266600.5199618,856
1603266600.6208248,937
1603266599.7129686,912
1603266599.7129686,841
1603266599.7129686,845
1603266599.7129686,862
1603266599.7129686,885
1603266599.7129686,885
1603266599.7129686,897
1603266599.7129686,902
1603266599.7129686,927
1603266599.7129686,927
1603266599.7129686,925
1603266599.7129686,940
1603266599.7129686,916
1603266599.7129686,895
1603266599.7129686,873
1603266599.7129686,821
1603266599.7129686,878
1603266599.7129686,843
1603266599.7129686,872
1603266599.7129686,832
1603266599.7129686,872
1603266599.7129686,834
1603266599.7129686,812
1603266599.7129686,785
1603266599.7129686,831
1603266599.7129686,765
1603266599.7129686,761
1603266599.7129686,762
1603266599.7129686,739
1603266599.7129686,752
1603266599.7129686,717
1603266599.7129686,730
1603266599.7129686,722
1603266599.7129686,686
1603266599.7129686,692
1603266599.7129686,664
1603266599.7129686,680
1603266599.7129686,669
1603266599.7129686,645
1603266599.7129686,635
1603266599.7129686,607
1603266599.7129686,599
1603266599.7129686,570
1603266599.7129686,562
1603266599.7129686,562
1603266599.7129686,736
1603266599.7129686,702
1603266599.7129686,842
1603266599.7129686,704
1603266599.7129686,776
1603266599.7129686,785
1603266599.7129686,859
1603266599.7129686,836
1603266599.7129686,792
1603266599.7129686,902
1603266599.7129686,801
1603266599.7129686,840
1603266599.7129686,840
1603266599.7129686,840
1603266599.7129686,854
1603266599.7129686,835
1603266599.7129686,838
1603266599.7129686,841
1603266599.7129686,835
1603266599.7129686,821
1603266599.7129686,821
1603266599.7129686,844
1603266599.7129686,845
1603266599.7129686,795
1603266599.7129686,828
1603266599.7129686,798
1603266599.7129686,803
1603266599.7129686,811
1603266599.7129686,800
1603266599.7129686,874
1603266599.7129686,833
1603266599.7129686,804
1603266599.7129686,867
1603266599.7129686,897
1603266599.7129686,901
1603266599.7129686,876
1603266599.7129686,892
1603266599.7129686,905
1603266599.7129686,896
1603266599.7129686,892
1603266599.7129686,876
1603266599.7129686,837
1603266599.7129686,800
1603266599.7129686,804
1603266599.7129686,807
1603266599.7129686,808
1603266599.7129686,860
1603266599.7129686,910
1603266599.7129686,867
1603266599.7129686,881
1603266599.7129686,858
1603266599.7129686,821
1603266599.7129686,802
1603266599.7129686,822
1603266599.7129686,831
1603266599.7129686,807
1603266599.7129686,807
1603266599.7129686,822
1603266599.7129686,826
1603266599.7129686,850
1603266599.7129686,909
1603266599.7129686,864
1603266599.7129686,871
1603266599.7129686,895
1603266599.7129686,894
1603266599.7129686,869
1603266599.7129686,889
1603266599.7129686,855
1603266599.7129686,834
1603266599.7129686,833
1603266599.7129686,828
1603266599.7129686,854
1603266599.7129686,835
1603266599.7129686,845
1603266599.7129686,807
1603266599.7129686,812
1603266599.7129686,785
1603266599.7129686,749
1603266599.7129686,752
1603266599.7129686,731
1603266599.7129686,729
1603266599.7129686,742
1603266599.7129686,733
1603266599.7129686,721
1603266599.7129686,699
1603266599.7129686,683
1603266599.7129686,761
1603266599.7129686,667
1603266599.7129686,749
1603266599.7129686,716
1603266599.7129686,764
1603266599.7129686,804
1603266599.7129686,767
1603266599.7129686,859
1603266599.7129686,881
1603266599.7129686,792
1603266599.7129686,757
1603266599.7129686,997
1603266599.7129686,976
1603266599.7129686,832
1603266599.7129686,938
1603266599.7129686,867
1603266599.7129686,877
1603266599.7129686,865
1603266599.7129686,886
1603266599.7129686,896
1603266599.7129686,834
1603266599.7129686,889
1603266599.7129686,867
1603266599.7129686,869
1603266599.7129686,889
1603266599.7129686,883
1603266599.7129686,861
1603266599.7129686,883
1603266599.7129686,898
1603266599.7129686,938
1603266599.7129686,899
1603266599.7129686,883
1603266599.7129686,908
1603266599.7129686,885
1603266599.7129686,866
1603266599.7129686,873
1603266599.7129686,821
1603266599.7129686,798
1603266599.7129686,791
1603266599.7129686,881
1603266599.7129686,821
1603266599.7129686,897
1603266599.7129686,905
1603266599.7129686,832
1603266599.7129686,885
1603266599.7129686,870
1603266599.7129686,760
1603266599.7129686,799
1603266599.7129686,823
1603266599.7129686,790
1603266599.7129686,839
1603266599.7129686,782
1603266599.7129686,721
1603266599.7129686,752
1603266599.7129686,745
1603266599.7129686,719
1603266599.7129686,768
1603266599.7129686,756
1603266599.7129686,803
1603266599.7129686,648
1603266599.7129686,679
1603266599.7129686,740
1603266599.7129686,776
1603266599.7129686,1044
1603266599.7129686,1006
1603266599.7129686,846
1603266599.7129686,852
1603266599.7129686,1053
1603266599.7129686,1076
1603266599.7129686,1039
1603266599.7129686,1048
1603266599.7129686,866
1603266599.7129686,870
1603266599.7129686,954
1603266599.7129686,1033
1603266599.7129686,874
1603266599.7129686,814
1603266599.7129686,887
1603266599.7129686,945
1603266599.7129686,831
1603266599.7129686,854
1603266599.7129686,936
1603266599.7129686,966
1603266599.7129686,824
1603266599.7129686,881
1603266599.7129686,841
1603266599.7129686,856
1603266599.7129686,869
1603266599.7129686,792
1603266599.7129686,805
1603266599.7129686,762
1603266599.7129686,832
1603266599.7129686,769
1603266599.7129686,741
1603266599.7129686,734
1603266599.7129686,860
1603266599.7129686,767
1603266599.7129686,832
1603266599.7129686,836
1603266599.7129686,866
1603266599.7129686,687
1603266599.7129686,968
1603266599.7129686,879
1603266599.7129686,750
1603266599.7129686,663
1603266599.7129686,979
1603266599.7129686,906
1603266599.7129686,998
1603266599.7129686,1011
1603266599.7129686,1022
1603266599.7129686,1013
1603266599.7129686,992
1603266599.7129686,992
1603266599.7129686,883
1603266599.7129686,880
1603266599.7129686,730
1603266599.7129686,1029
1603266599.7129686,734
1603266599.7129686,924
1603266599.7129686,1016
1603266599.7129686,994
1603266599.7129686,1006
1603266599.7129686,832
1603266599.7129686,1013
1603266599.7129686,1003
1603266599.7129686,1034
1603266599.7129686,1008
1603266599.7129686,1023
1603266599.7129686,988
1603266599.7129686,874
1603266599.7129686,956
1603266599.7129686,704
1603266599.7129686,926
1603266599.7129686,779
1603266599.7129686,1026
1603266599.7129686,949
1603266599.7129686,790
1603266599.7129686,1031
1603266599.7129686,1012
1603266599.7129686,721
1603266599.7129686,993
1603266599.7129686,921
1603266599.7129686,926
1603266599.7129686,932
1603266599.7129686,913
1603266599.7129686,939
1603266599.7129686,900
1603266599.7129686,938
1603266599.7129686,956
1603266599.7129686,924
1603266599.7129686,911
1603266599.7129686,908
1603266599.7129686,870
1603266599.7129686,905
1603266599.7129686,888
1603266599.7129686,885
1603266599.7129686,888
1603266599.7129686,903
1603266599.7129686,848
1603266599.7129686,415
1603266599.7129686,814
1603266599.7129686,835
1603266599.7129686,841
1603266599.7129686,798
1603266599.7129686,861
1603266599.7129686,447
1603266599.7129686,902
1603266599.7129686,887
1603266599.7129686,911
1603266599.7129686,915
1603266599.7129686,857
1603266599.7129686,855
1603266599.7129686,870
1603266599.7129686,890
1603266599.7129686,901
1603266599.7129686,859
1603266599.7129686,862
1603266599.7129686,901
1603266599.7129686,868
1603266599.7129686,899
1603266599.7129686,814
1603266599.7129686,879
1603266599.7129686,879
1603266599.7129686,910
1603266599.7129686,459
1603266599.7129686,579
1603266599.7129686,909
1603266599.7129686,932
1603266599.7129686,882
1603266599.7129686,894
1603266599.7129686,339
1603266599.7129686,901
1603266599.7129686,889
1603266599.7129686,408
1603266599.7129686,938
1603266599.7129686,749
1603266599.7129686,956
1603266599.7129686,722
1603266599.7129686,504
1603266599.7129686,1040
1603266599.7129686,1022
1603266599.7129686,838
1603266599.7129686,1037
1603266599.7129686,1015
1603266599.7129686,745
1603266599.7129686,833
1603266599.7129686,834
1603266599.7129686,989
1603266599.7129686,992
1603266599.7129686,589
1603266599.7129686,750
1603266599.7129686,979
1603266599.7129686,649
1603266599.7129686,778
1603266599.7129686,862
1603266599.7129686,874
1603266599.7129686,929
1603266599.7129686,730
1603266599.7129686,912
1603266599.7129686,937
1603266599.7129686,934
1603266599.7129686,928
1603266599.7129686,889
1603266599.7129686,883
1603266599.7129686,861
1603266599.7129686,937
1603266599.7129686,939
1603266599.7129686,962
1603266599.7129686,924
1603266599.7129686,915
1603266599.7129686,870
1603266599.7129686,963
1603266599.7129686,865
1603266599.7129686,881
1603266599.7129686,777
1603266599.7129686,796
1603266599.7129686,735
1603266599.7129686,790
1603266599.7129686,771
1603266599.7129686,766
1603266599.7129686,764
1603266599.7129686,781
1603266599.7129686,767
1603266599.7129686,773
1603266599.7129686,786
1603266599.7129686,798
1603266599.7129686,816
1603266599.7129686,842
1603266599.7129686,807
1603266599.7129686,772
1603266599.7129686,821
1603266599.7129686,782
1603266599.7129686,822
1603266599.7129686,764
1603266599.7129686,807
1603266599.7129686,815
1603266599.7129686,760
1603266599.7129686,740
1603266599.7129686,796
1603266599.7129686,797
1603266599.7129686,757
1603266599.7129686,779
1603266599.7129686,881
1603266599.7129686,735
1603266599.7129686,882
1603266599.7129686,913
1603266599.7129686,917
1603266599.7129686,904
1603266599.7129686,892
1603266599.7129686,897
1603266599.7129686,881
1603266599.7129686,892
1603266599.7129686,892
1603266599.7129686,844
1603266599.7129686,832
1603266599.7129686,881
1603266599.7129686,857
1603266599.7129686,873
1603266599.7129686,859
1603266599.7129686,838
1603266599.7129686,839
1603266599.7129686,786
1603266599.7129686,780
1603266599.7129686,796
1603266599.7129686,666
1603266599.7129686,675
1603266599.7129686,775
1603266599.7129686,695
1603266599.7129686,699
1603266599.7129686,701
1603266599.7129686,704
1603266599.7129686,700
1603266599.7129686,691
1603266599.7129686,664
1603266599.7129686,692
1603266599.7129686,663
1603266599.7129686,653
1603266599.7129686,644
1603266599.7129686,641
1603266599.7129686,801
1603266599.7129686,870
1603266599.7129686,787
1603266599.7129686,932
1603266599.7129686,837
1603266599.7129686,748
1603266599.7129686,820
1603266599.7129686,825
